"title";"link";"size"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_HDINSIGHT_PDF.PDF";"http://ligman.me/29i83TI";"7.5MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_AZURE_PDF.PDF";"http://ligman.me/29diypX";"8MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_AZURE_EPUB.EPUB";"http://ligman.me/29fNpHO";"22.6MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_AZURE_MOBI.MOBI";"http://ligman.me/29oefNf";"40.4MB"
"679603EBOOK.PDF";"http://ligman.me/29jGTgC";"4.5MB"
"MICROSOFT_PRESS_EBOOK_RETHINKING_ENTERPRISE_STORAGE_A_HYBRID_CLOUD_MODEL_EPUB.EPUB";"http://ligman.me/29crPhL";"3.8MB"
"MICROSOFT_PRESS_EBOOK_RETHINKING_ENTERPRISE_STORAGE_A_HYBRID_CLOUD_MODEL_MOBI.MOBI";"http://ligman.me/29FUJIk";"7.2MB"
"An-overview-of-AAD.docx";"http://ligman.me/1G2oDNG";"5.2MB"
"An-overview-of-AAD-B2C.docx";"http://ligman.me/29u5uMT";"3.6MB"
"StorSimple DR Solution using ASR 2015-12-07.pdf";"http://ligman.me/29rlRt3";"1.1MB"
"Security_and_Azure_SQL_Database_White_paper.pdf";"http://ligman.me/29Yd9V0";"0.8MB"
"Azure MSP Playbook Final.pdf";"http://ligman.me/29s4EQ1";"5.3MB"
"DevOps on Azure technical guides.zip";"http://ligman.me/29vkv6E";"64.7MB"
"Hybrid IaaS technical guides.zip";"http://ligman.me/29A3q8Z";"31.7MB"
"Level 50- Getting started guide for Azure in CSP.pdf";"http://ligman.me/29H7ovO";"1.7MB"
"OnDemandMediaService.pdf";"http://ligman.me/1dHMOui";"2.6MB"
"Continuous_Deployment_Using_Microsoft_Azure_Web_Sites.pdf";"http://ligman.me/1G2pw8X";"0.7MB"
"GAL_Quick_Start_Use_Office_365_your_iPhone or iPad_revamped_AF104372236.pdf";"http://ligman.me/29gnaPK";"1.2MB"
"GAL_Quick_Start_Setup_Use Office_365_your_Android_phone Combined_Draft_AF104379034.pdf";"http://ligman.me/29d7GZH";"0.9MB"
"GAL_Quick_Start_Setup_Office_365_on_your_Windows_Phone_COMBINED_AF104372237.pdf";"http://ligman.me/29i2Mvf";"0.8MB"
"MSFT_cloud_architecture_informationprotection.pdf";"http://ligman.me/29rbpkY";"0.6MB"
"<unavailable>";"http://ligman.me/29e6cTO";"<null>"
"vkXtofnX13Wk6o3x";"http://ligman.me/29hJU1c";"0MB"
"<unavailable>";"http://ligman.me/29bcJtd";"<null>"
"FYBi5b1boMAVed8i";"http://ligman.me/29bcRZO";"0MB"
"<unavailable>";"http://ligman.me/29d5mS2";"<null>"
"C-tRAixCf9pPnqQe";"http://ligman.me/29cz6OD";"0MB"
"<unavailable>";"http://ligman.me/29fDult";"<null>"
"64d32N5tOA92bVBc";"http://ligman.me/29pEdjN";"0MB"
"<unavailable>";"http://ligman.me/29rwoY0";"<null>"
"V2j-8lYIY4dntL_k";"http://ligman.me/29fTQrx";"0MB"
"WORD MOBILE QUICK START GUIDE.PDF";"http://ligman.me/29gfrkN";"0.9MB"
"EXCEL MOBILE QUICK START GUIDE.PDF";"http://ligman.me/29rwoHw";"0.4MB"
"POWERPOINT MOBILE QUICK START GUIDE.PDF";"http://ligman.me/29d5AbX";"0.4MB"
"ONENOTE MOBILE QUICK START GUIDE.PDF";"http://ligman.me/29fudHc";"0.4MB"
"WORD 2016 FOR MAC QUICK START GUIDE.PDF";"http://ligman.me/29FzGG5";"0.5MB"
"idJYy1Tumyfwim_i";"http://ligman.me/29osNwd";"0MB"
"EXCEL 2016 FOR MAC QUICK START GUIDE.PDF";"http://ligman.me/29a22WR";"0.7MB"
"TLT-kbLbBsVXZrX2";"http://ligman.me/29alDpK";"0MB"
"POWERPOINT 2016 FOR MAC QUICK START GUIDE.PDF";"http://ligman.me/29fDylj";"0.6MB"
"Trwj9NQfT-Qj5Hjo";"http://ligman.me/29jPTCx";"0MB"
"ONENOTE 2016 FOR MAC QUICK START GUIDE.PDF";"http://ligman.me/29d5XTw";"0.6MB"
"CMlWIHFFonOfbv6h";"http://ligman.me/29rUIci";"0MB"
"OUTLOOK 2016 FOR MAC QUICK START GUIDE.PDF";"http://ligman.me/29hVdVa";"0.6MB"
"-owqMa71uMJju7ME";"http://ligman.me/29ijDhm";"0MB"
"add-an-outlook-com-or-microsoft-365-account-7c031aff-0ceb-435a-ada9-a389cfc8ddca";"http://ligman.me/29pn5e2";"0MB"
"<unavailable>";"http://ligman.me/29ckVx7";"<null>"
"Outlook-2016-Tips-Tricks.pdf";"http://ligman.me/29cfePX";"1.5MB"
"<unavailable>";"http://ligman.me/29vGIvY";"<null>"
"Getting started with OneDrive.pdf";"http://ligman.me/29hfnPR";"0.4MB"
"MicrosoftCloudSolutionsAndPlatformsOptions.pdf";"http://ligman.me/29fCVFe";"1MB"
"what-is-excel-842fb550-07cb-42d1-9a9f-c55789efed57";"http://ligman.me/29a6YLu";"0MB"
"split-data-into-different-columns-0edb925e-2af7-47fb-895a-28a07d5b73d4";"http://ligman.me/29n4GwJ";"0MB"
"AF104331648_en-us_o365_mts_googleapps.pdf";"http://ligman.me/29jAS3v";"1.9MB"
"<unavailable>";"http://ligman.me/29ci56U";"<null>"
"<unavailable>";"http://ligman.me/29nW9L3";"<null>"
"<unavailable>";"http://ligman.me/29hV6ZM";"<null>"
"<unavailable>";"http://ligman.me/29d1qAV";"<null>"
"<unavailable>";"http://ligman.me/29pfpbI";"<null>"
"6158_Skype_for_Business_for_Windows_Phone_WSG.docx";"http://ligman.me/29v8nwX";"1.6MB"
"Office365CheatSheet.pdf";"http://ligman.me/29uq452";"0.2MB"
"OneNote-2016-Tips-Tricks.pdf";"http://ligman.me/29d1wc3";"1.4MB"
"Excel_2010_to_Office_365.pdf";"http://ligman.me/29Y1O7a";"1MB"
"AF104114261_en-us_quick_start_guide_store_and_share_documents.pdf";"http://ligman.me/29a7wRA";"0.5MB"
"Get_started_with_the_Internet_of_Things.pdf";"http://ligman.me/29pnEEG";"2.8MB"
"AF103733520_en-us_outlook2013quickstartguide.pdf";"http://ligman.me/1FYtDD8";"0.5MB"
"AF103733534_en-us_excel2013quickstartguide.pdf";"http://ligman.me/1HByNKS";"0.3MB"
"AF103733511_en-us_powerpoint2013quickstartguide.pdf";"http://ligman.me/1NCfcKC";"1.2MB"
"AF103733558_en-us_access2013quickstartguide.pdf";"http://ligman.me/1HCDxl9";"0.5MB"
"AF103733448_en-us_word2013quickstartguide.pdf";"http://ligman.me/1HCCCRP";"0.4MB"
"AF103733495_en-us_publisher2013quickstartguide.pdf";"http://ligman.me/1H4Q0e5";"1MB"
"AF103733479_en-us_project2013quickstartguide.pdf";"http://ligman.me/1JI6V77";"1.3MB"
"AF103733547_en-us_onenote2013quickstartguide.pdf";"http://ligman.me/1CSMobd";"0.4MB"
"How To Recover Office Doc.pdf";"http://ligman.me/1jWMJA2";"0.4MB"
"Word 2013 Keyboard Shortcuts.pdf";"http://ligman.me/1m6xucg";"0.5MB"
"Excel 2013 Keyboard Shortcuts.pdf";"http://ligman.me/1onTg9n";"0.4MB"
"OneNote 2013 Keyboard Shortcuts.pdf";"http://ligman.me/1n49kzj";"0.4MB"
"Access 2013 Keyboard Shortcuts.pdf";"http://ligman.me/1sgBtn4";"0.5MB"
"InfoPath 2013 Keyboard Shortcuts.pdf";"http://ligman.me/1qZlnOJ";"0.5MB"
"Outlook 2013 Keyboard Shortcuts.pdf";"http://ligman.me/TWa2Dg";"0.4MB"
"Project 2013 Keyboard Shortcuts.pdf";"http://ligman.me/1vM9mwt";"0.3MB"
"Customize Word 2013 Keyboard Shortcuts.pdf";"http://ligman.me/1qzON6Q";"0.3MB"
"Publisher 2013 Keyboard Shortcuts.pdf";"http://ligman.me/1rB8nl1";"0.5MB"
"SharePoint Products 2013 Keyboard Shortcuts.pdf";"http://ligman.me/TL3pn1";"0.3MB"
"Visio 2013 Keyboard Shortcuts.pdf";"http://ligman.me/1vM9H2d";"0.3MB"
"656949EBOOK.PDF";"http://ligman.me/29odbJ6";"21.1MB"
"Microsoft Lync Server 2013  Step by Step for Anyone_REV014.pdf";"http://ligman.me/1LSKTC0";"8.1MB"
"Office 2010 User Resources - PDF.zip";"http://ligman.me/1qC1pu4";"39.4MB"
"Upgrade to Skype for Business 2015 Step by Step eBook.pdf";"http://ligman.me/1dHSpRh";"1.2MB"
"Skype for Business Server 2015 Step by Step for Anyone - Installing and Upgrading_REV_05.pdf";"http://ligman.me/1LO5k1Y";"2.8MB"
"Skype for Business User Tips & Tricks for Anyone_REV03.pdf";"http://ligman.me/1M7Xr5v";"3.8MB"
"697737_EBOOK_TECHPREVIEW.PDF";"http://ligman.me/29jLNtX";"9.7MB"
"697737_EBOOK_MOBILE_TECHPREVIEW.PDF";"http://ligman.me/29agpuw";"7.9MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2012_R2_EPUB.EPUB";"http://ligman.me/29cv8FE";"24.7MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2012_R2_MOBI.MOBI";"http://ligman.me/29ieXIo";"43.6MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2012_R2_PDF.PDF";"http://ligman.me/29dmCXi";"12.7MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2012_EPUB.EPUB";"http://ligman.me/29jLjnM";"25MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2012_MOBI.MOBI";"http://ligman.me/29agkqx";"50.7MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2012_PDF.PDF";"http://ligman.me/29gvTBJ";"17.8MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2012_R2_PREVIEW_MOBI.MOBI";"http://ligman.me/29pztuz";"9.5MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2012_R2_PREVIEW_PDF.PDF";"http://ligman.me/29dmTJT";"5.1MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2008_R2_EPUB.EPUB";"http://ligman.me/29ieSEI";"9.4MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_WINDOWS_SERVER_2008_R2_MOBI.MOBI";"http://ligman.me/29hB9CQ";"5.2MB"
"<unavailable>";"http://ligman.me/29fOWdV";"<null>"
"Windows_Server_2012_R2_Remote_Desktop_Services_Licensing_Datasheet.pdf";"http://ligman.me/1JPNIAt";"0.4MB"
"Microsoft_Press_ebook_Configuring_SharePoint_Hybrid_PDF.pd.pdf";"http://ligman.me/29Xnqk8";"11.7MB"
"Microsoft_Press_ebook_Configuring_SharePoint_Hybrid_mobile.pdf";"http://ligman.me/29oRWlp";"10.2MB"
"MICROSOFT_PRESS_EBOOK_PLANNING_SHAREPOINT_HYBRID_8.5X11.PDF";"http://ligman.me/29csX4C";"5.1MB"
"MICROSOFT_PRESS_EBOOK_PLANNING_SHAREPOINT_HYBRID_MOBILE-ONLY.PDF";"http://ligman.me/29jH8bx";"4.6MB"
"SharePoint Server 2016 Reviewer's Guide.pdf";"http://ligman.me/29pcQFA";"0.2MB"
"SharePoint Server 2016 Quick Start.pdf";"http://ligman.me/29FkNr3";"0.2MB"
"Explore-SharePoint-2013.pdf";"http://ligman.me/12FIapt";"2MB"
"Explore-SharePoint-2013.epub";"http://ligman.me/13WvGXa";"0.9MB"
"Explore-SharePoint-2013.mobi";"http://ligman.me/1bPPb6C";"1.6MB"
"Deployment-guide-for-SharePoint-2013.pdf";"http://ligman.me/12FIZ1I";"9MB"
"Deployment-guide-for-SharePoint-2013.epub";"http://ligman.me/16CaDM1";"3.3MB"
"Deployment-guide-for-SharePoint-2013.mobi";"http://ligman.me/19LwMLI";"6.8MB"
"AF104114265_en-us_quick_start_guide_lists.pdf";"http://ligman.me/1JHmqiB";"0.5MB"
"AF104114273_en-us_quick_start_guide_create_a_team_site.pdf";"http://ligman.me/1KHqGNK";"0.4MB"
"SharePoint 2013 The excellence by TechNet WIKI.pdf";"http://ligman.me/1M7Ycve";"7.9MB"
"WikiNinjas guide to SharePoint 2013 - Part II.pdf";"http://ligman.me/1LSOsIu";"12.3MB"
"Sharepoint_Adoption_Guide.pdf";"http://ligman.me/1UrQDFx";"0.2MB"
"SharePoint 2013 Adoption Kit.zip";"http://ligman.me/TUmyTW";"4.6MB"
"<unavailable>";"http://ligman.me/1NLviCk";"<null>"
"TestLabGuide_IntranetAndTeamSites_ebook.pdf";"http://ligman.me/17iaq4l";"0.5MB"
"TestLabGuide_IntranetAndTeamSites_ebook.epub";"http://ligman.me/1bPRqqz";"0.1MB"
"TestLabGuide_IntranetAndTeamSites_ebook.mobi";"http://ligman.me/17iah0Q";"0.2MB"
"TestLabGuide_IntranetAndTeamSites_ebook.docx";"http://ligman.me/1287Jt4";"0.2MB"
"MICROSOFT_PRESS_EBOOK_SYSTEM_CENTER_DATA_PROTECTION_FOR_HYBRID_CLOUD_PDF.PDF";"http://ligman.me/29djdrk";"4.3MB"
"MICROSOFT_PRESS_EBOOK_SYSTEM_CENTER_DATA_PROTECTION_FOR_HYBRID_CLOUD_EPUB.EPUB";"http://ligman.me/29rLH2H";"4.6MB"
"MICROSOFT_PRESS_EBOOK_SYSTEM_CENTER_DATA_PROTECTION_FOR_HYBRID_CLOUD_MOBI.MOBI";"http://ligman.me/29fNPxT";"10.4MB"
"9780735695825.EPUB";"http://ligman.me/29ddm60";"6.6MB"
"9780735695825.MOBI";"http://ligman.me/29gsnHt";"15.8MB"
"9780735695825.PDF";"http://ligman.me/29nc2QS";"3.3MB"
"MICROSOFT_PRESS_EBOOK_SYSTEM_CENTER_BUILDING_A_VIRTUALIZED_NETWORK_SOLUTION_2E_PDF.PDF";"http://ligman.me/29fOrnd";"11.1MB"
"MICROSOFT_PRESS_EBOOK_SYSTEM_CENTER_BUILDING_A_VIRTUALIZED_NETWORK_SOLUTION_2E_EPUB.EPUB";"http://ligman.me/29dk0Ze";"10.7MB"
"MICROSOFT_PRESS_EBOOK_SYSTEM_CENTER_BUILDING_A_VIRTUALIZED_NETWORK_SOLUTION_2E_MOBI.MOBI";"http://ligman.me/29aewh2";"23.6MB"
"9780735695788.EPUB";"http://ligman.me/29gteI8";"7.4MB"
"9780735695788.MOBI";"http://ligman.me/29ibJVq";"16.2MB"
"9780735695788.PDF";"http://ligman.me/29fKMD6";"5MB"
"MICROSOFT_PRESS_EBOOK_SYSTEMCENTERCONFMGRFIELDEXPERIENCE_EPUB.EPUB";"http://ligman.me/29cthAz";"22.7MB"
"MICROSOFT_PRESS_EBOOK_SYSTEMCENTERCONFMGRFIELDEXPERIENCE_MOBI.MOBI";"http://ligman.me/29ohqUT";"40.4MB"
"MICROSOFT_PRESS_EBOOK_SYSTEMCENTERCONFMGRFIELDEXPERIECE_PDF.PDF";"http://ligman.me/29crGiw";"5.9MB"
"9780735695818.PDF";"http://ligman.me/29gsFOl";"4MB"
"9780735695818.EPUB";"http://ligman.me/29ncgrb";"5MB"
"9780735695818.MOBI";"http://ligman.me/29fKWdi";"10.3MB"
"9780735695849.PDF";"http://ligman.me/29djvi9";"8.8MB"
"9780735695849 .EPUB";"http://ligman.me/29FW41O";"12MB"
"9780735695849 .MOBI";"http://ligman.me/29ddKBp";"29.1MB"
"MICROSOFT_PRESS_EBOOK_SYSTEMCENTERTROUBLESHOOTINGCONFIGURATIONMANAGER_EPUB.EPUB";"http://ligman.me/29dkhf4";"24.4MB"
